"Series.Name","Series.Code","Country.Name","Country.Code","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Average..Time.","missing_count"
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Nepal","NPL",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Oman","OMN",0,0,0,0,0,0,0,1,1,1,NA,0.3,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Pakistan","PAK",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Philippines","PHL",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Qatar","QAT",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Timor-Leste","TLS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Russian Federation","RUS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Saudi Arabia","SAU",0,0,0,0,0,1,1,1,1,1,NA,0.5,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Sri Lanka","LKA",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Syrian Arab Republic","SYR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Tajikistan","TJK",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Thailand","THA",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Turkiye","TUR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","United Arab Emirates","ARE",0,0,0,0,1,1,1,1,1,1,NA,0.6,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Uzbekistan","UZB",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Viet Nam","VNM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Yemen, Rep.","YEM",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Afghanistan","AFG",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Armenia","ARM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Azerbaijan","AZE",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Bahrain","BHR",0,0,0,0,1,1,1,1,1,1,NA,0.6,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Bangladesh","BGD",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Bhutan","BTN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Brunei Darussalam","BRN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Cambodia","KHM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","China","CHN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Cyprus","CYP",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Egypt, Arab Rep.","EGY",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Georgia","GEO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","India","IND",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Indonesia","IDN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Iran, Islamic Rep.","IRN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Iraq","IRQ",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Israel","ISR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Japan","JPN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Jordan","JOR",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Kazakhstan","KAZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Kuwait","KWT",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Kyrgyz Republic","KGZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Lao PDR","LAO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Lebanon","LBN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Malaysia","MYS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Maldives","MDV",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Mongolia","MNG",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Myanmar","MMR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Nepal","NPL",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Oman","OMN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Pakistan","PAK",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Philippines","PHL",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Qatar","QAT",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Timor-Leste","TLS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Russian Federation","RUS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Saudi Arabia","SAU",0,0,0,0,0,1,1,1,1,1,NA,0.5,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Sri Lanka","LKA",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Syrian Arab Republic","SYR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Tajikistan","TJK",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Thailand","THA",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Turkiye","TUR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","United Arab Emirates","ARE",0,0,0,0,0,1,1,1,1,1,NA,0.5,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Uzbekistan","UZB",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Viet Nam","VNM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can be head of household in the same way as a man (1=yes; 0=no)","SG.HLD.HEAD.EQ","Yemen, Rep.","YEM",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Afghanistan","AFG",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Armenia","ARM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Azerbaijan","AZE",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Bahrain","BHR",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Bangladesh","BGD",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Bhutan","BTN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Brunei Darussalam","BRN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Cambodia","KHM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","China","CHN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Cyprus","CYP",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Egypt, Arab Rep.","EGY",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Georgia","GEO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","India","IND",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Indonesia","IDN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Iran, Islamic Rep.","IRN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Iraq","IRQ",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Israel","ISR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Japan","JPN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Jordan","JOR",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Kazakhstan","KAZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Kuwait","KWT",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Kyrgyz Republic","KGZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Lao PDR","LAO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Lebanon","LBN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Malaysia","MYS",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Maldives","MDV",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Mongolia","MNG",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Myanmar","MMR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Nepal","NPL",1,1,1,1,0,0,0,0,0,0,NA,0.4,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Oman","OMN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Pakistan","PAK",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Philippines","PHL",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Qatar","QAT",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Timor-Leste","TLS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Russian Federation","RUS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Saudi Arabia","SAU",0,0,0,0,0,1,1,1,0,0,NA,0.3,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Sri Lanka","LKA",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Syrian Arab Republic","SYR",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Tajikistan","TJK",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Thailand","THA",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Turkiye","TUR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","United Arab Emirates","ARE",0,0,0,0,0,0,1,1,1,1,NA,0.4,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Uzbekistan","UZB",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Viet Nam","VNM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can choose where to live in the same way as a man (1=yes; 0=no)","SG.LOC.LIVE.EQ","Yemen, Rep.","YEM",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Afghanistan","AFG",1,1,1,1,1,1,1,1,0,0,NA,0.8,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Armenia","ARM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Azerbaijan","AZE",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Bahrain","BHR",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Bangladesh","BGD",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Bhutan","BTN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Brunei Darussalam","BRN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Cambodia","KHM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","China","CHN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Cyprus","CYP",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Egypt, Arab Rep.","EGY",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Georgia","GEO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","India","IND",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Indonesia","IDN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Iran, Islamic Rep.","IRN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Iraq","IRQ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Israel","ISR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Japan","JPN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Jordan","JOR",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Kazakhstan","KAZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Kuwait","KWT",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Kyrgyz Republic","KGZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Lao PDR","LAO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Lebanon","LBN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Malaysia","MYS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Maldives","MDV",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Mongolia","MNG",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Myanmar","MMR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Nepal","NPL",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Oman","OMN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Pakistan","PAK",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Philippines","PHL",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Qatar","QAT",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can get a job in the same way as a man (1=yes; 0=no)","SG.GET.JOBS.EQ","Timor-Leste","TLS",1,1,1,1,1,1,1,1,1,1,NA,1,1
